UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Express Tribune,@etribune,2022-01-04T08:44:08.000Z,"The Express Tribune
@etribune
·
4 Jan","British actor Emma Watson has voiced solidarity with pro-Palestinian activism on social media, eliciting backlash from current and former Israeli officials and praise from pro-Palestine social media users. 

For more: https://tribune.com.pk/story/2337071/anti-semitic-emma-watson-posts-in-support-of-palestine-irks-israel-envoys…

#etribune #EmmaWatson #Palestine
tribune.com.pk
Emma Watson's pro-Palestine post irks Israel envoys
Watson's post garnered widespread acclaim from many, several of whom thanked her for her support
47
260
1,188",,47,260,"1,188",[],https://twitter.com/etribune/status/1478286108404371458
The Express Tribune,@etribune,2022-01-04T16:42:59.000Z,"The Express Tribune
@etribune
·
4 Jan","#PTI, PML-Q vow to jointly contest #Punjab LG polls
#etribune 

https://tribune.com.pk/story/2337124/pti-pml-q-vow-to-jointly-contest-punjab-lg-polls…
1
4
14",,1,4,14,[],https://twitter.com/etribune/status/1478406617586716673
The Express Tribune,@etribune,2022-01-04T16:07:32.000Z,"The Express Tribune
@etribune
·
4 Jan","#Pakistan assails online 'auction' of #Muslim women in #India
#etribune 
https://tribune.com.pk/story/2337121/pakistan-assails-online-auction-of-muslim-women-in-india…
1
4
22",,1,4,22,[],https://twitter.com/etribune/status/1478397694716649478
The Express Tribune,@etribune,2022-01-05T19:29:37.000Z,"The Express Tribune
@etribune
·
6 Jan","In Gilgit Baltistan: Young girls dance their worries away as threats of the fifth wave of the novel coronavirus make headlines. 

 Courtesy: Facebook: GB Dance

#etribune #news #latest #music #GilgitBaltistan #Covid19
9
29
101",🎥,9,29,101,['https://pbs.twimg.com/amplify_video_thumb/1478759321219604482/img/_XX2us5XGnehgRog.jpg'],https://twitter.com/etribune/status/1478810940858683393
The Express Tribune,@etribune,2022-01-05T06:04:08.000Z,"The Express Tribune
@etribune
·
5 Jan","They need food, shelter, warm clothes, medicines, says Pakistan cricket team’s vice-captain.
tribune.com.pk
Cricketer Rizwan makes an appeal to help Afghan people
They need food, shelter, warm clothes, medicines, says Pakistan cricket team’s vice-captain
1
19
166",,1,19,166,[],https://twitter.com/etribune/status/1478608232222539785
The Express Tribune,@etribune,2022-01-05T19:45:23.000Z,"The Express Tribune
@etribune
·
6 Jan","Two soldiers martyred in K-P anti-terror operations
#etribune 
https://tribune.com.pk/story/2337320/two-soldiers-martyred-in-k-p-anti-terror-operations…
3
3
50",,3,3,50,[],https://twitter.com/etribune/status/1478814908548583428
The Express Tribune,@etribune,2022-01-05T10:20:34.000Z,"The Express Tribune
@etribune
·
5 Jan","LIVE: DG ISPR Major-General Babar Iftikhar is addressing a press conference in Rawalpindi.

“On this day in 1949 the people of Kashmir were promised the right to self-determination but this promise still has not been fulfilled,” says the Major.

#etribune #live #latest
2
8
37",,2,8,37,[],https://twitter.com/etribune/status/1478672764856905739
The Express Tribune,@etribune,2022-01-06T19:06:17.000Z,"The Express Tribune
@etribune
·
7 Jan","Shah Mahmood Qureshi appointed #PTI vice-chairman
#etribune 

https://tribune.com.pk/story/2337474/shah-mahmood-qureshi-appointed-pti-vice-chairman…
2
2
32",,2,2,32,['https://pbs.twimg.com/media/FIcO9CDXsAAsYHW?format=png&name=900x900'],https://twitter.com/etribune/status/1479167455733899267
The Express Tribune,@etribune,2022-01-06T15:58:26.000Z,"The Express Tribune
@etribune
·
6 Jan","President Arif Alvi tests positive for #COVID19 again
#etribune 
https://tribune.com.pk/story/2337449/president-arif-alvi-tests-positive-for-covid-19-again…
8
10
37",,8,10,37,['https://pbs.twimg.com/media/FIbj8QaVUAYuCtg?format=png&name=small'],https://twitter.com/etribune/status/1479120180894523393
The Express Tribune,@etribune,2022-01-06T18:32:48.000Z,"The Express Tribune
@etribune
·
6 Jan","#NawazSharif not ready to make any 'deal’: Rana Sanaullah
#etribune 

https://tribune.com.pk/story/2337452/nawaz-sharif-not-ready-to-make-any-deal-rana-sanaullah…
5
3
6",,5,3,6,['https://pbs.twimg.com/media/FIcHSX7XwAI1GpR?format=png&name=small'],https://twitter.com/etribune/status/1479159029003870213
The Express Tribune,@etribune,2022-01-06T19:53:28.000Z,"The Express Tribune
@etribune
·
7 Jan","'Largest ever' haul of #heroin worth Rs1.5 billion recovered at #Torkham border
#etribune 

https://tribune.com.pk/story/2337455/largest-ever-haul-of-heroin-worth-rs15b-recovered-at-torkham-border…
1
7
29",,1,7,29,['https://pbs.twimg.com/media/FIcZwKbXMAQQUaC?format=png&name=small'],https://twitter.com/etribune/status/1479179330655854592
The Express Tribune,@etribune,2022-01-07T16:37:01.000Z,"The Express Tribune
@etribune
·
7 Jan","Another 21 truckloads of relief goods sent to #Afghanistan
#etribune 
https://tribune.com.pk/story/2337602/another-21-truckloads-of-relief-goods-sent-to-afghanistan…
2
6
9",,2,6,9,[],https://twitter.com/etribune/status/1479492280356642821
The Express Tribune,@etribune,2022-01-07T14:01:50.000Z,"The Express Tribune
@etribune
·
7 Jan","Snow much fun! Skardu residents enjoy a snowy day and a unique way of sledding as they slide down in a people train formation. 

 Courtesy: Twitter: LandofPakistan

For more, visit: https://tribune.com.pk

#etribune #news #skardu #snowfall #fun
5
16",🎥,,5,16,['https://pbs.twimg.com/amplify_video_thumb/1479452356454531081/img/LciGYJNtigIq7lq7.jpg'],https://twitter.com/etribune/status/1479453225958924288
The Express Tribune,@etribune,2022-01-07T13:42:59.000Z,"The Express Tribune
@etribune
·
7 Jan","What day is it? UAE works on Friday for 'first time ever'

Read here http://bit.ly/3n6t9Lf

#etribune #latest
4
13",,,4,13,[],https://twitter.com/etribune/status/1479448480397631491
The Express Tribune,@etribune,2022-01-07T14:33:50.000Z,"The Express Tribune
@etribune
·
7 Jan","‘Averting Afghan crisis imperative for regional stability’, #COAS tells British envoy
#etribune 

https://tribune.com.pk/story/2337594/averting-afghan-crisis-imperative-for-regional-stability-coas-tells-british-envoy…
2
3
13",,2,3,13,[],https://twitter.com/etribune/status/1479461280490704900
The Express Tribune,@etribune,2022-01-08T17:06:37.000Z,"The Express Tribune
@etribune
·
8 Jan","Trudging through deep snow, soldiers scurry to rescue trapped tourists from the extreme weather and risk of carbon monoxide poisoning.

For more: https://tribune.com.pk/story/2337751/1

#etribune #Murree #rescue #soldiers
3
14
102",,3,14,102,[],https://twitter.com/etribune/status/1479862114965757963
The Express Tribune,@etribune,2022-01-08T19:17:29.000Z,"The Express Tribune
@etribune
·
9 Jan","No one wants Tareen to leave PTI: Punjab governor

Read here http://bit.ly/3zGwwgV

#etribune #latest
2
2
17",,2,2,17,[],https://twitter.com/etribune/status/1479895051081814020
The Express Tribune,@etribune,2022-01-08T20:13:53.000Z,"The Express Tribune
@etribune
·
9 Jan","Anti-vax protesters tell France's Macron: 'We'll piss you off'

Read here http://bit.ly/32ZsB32

#COVID19 #etribune #latest
2
2
12",,2,2,12,[],https://twitter.com/etribune/status/1479909244480675845
The Express Tribune,@etribune,2022-01-08T12:52:34.000Z,"The Express Tribune
@etribune
·
8 Jan","A pedestrian directs stranded tourists to an evacuation camp set up by the army for women and children in Murree.  

 Courtesy: Twitter: developingpak

For more, visit: https://tribune.com.pk/story/2337723/1

#etribune #news #murree #snow #evacuation
6
19",🎥,,6,19,['https://pbs.twimg.com/amplify_video_thumb/1479794027071516673/img/6NQ3dI8OXP_Pp5LJ.jpg'],https://twitter.com/etribune/status/1479798183056355329
The Express Tribune,@etribune,2022-01-09T08:29:51.000Z,"The Express Tribune
@etribune
·
9 Jan","At least 22 tourists stranded in their vehicles during a snowstorm in Murree died on Friday night. 

Among the deceased was an officer of the Islamabad police, ASI M Naveed Iqbal, 49, along with his 43-year-old wife and six kids. 

For more: https://bit.ly/3n5Dwij

#etribune
7
23
33",,7,23,33,['https://pbs.twimg.com/ext_tw_video_thumb/1480094231909838852/pu/img/ZJcmHOkDJGxhpi-R.jpg'],https://twitter.com/etribune/status/1480094453830459393
The Express Tribune,@etribune,2022-01-09T18:33:09.000Z,"The Express Tribune
@etribune
·
9 Jan","Pakistan asks Afghan Taliban to take TTP ‘as test case’
#etribune
tribune.com.pk
Pakistan asks Afghan Taliban to take TTP ‘as test case’
Pakistan believed that TTP is a ""test case"" for Afghan Taliban as tackling group would help interim government establish its credentials in the eyes of the world
2
6
39",,2,6,39,[],https://twitter.com/etribune/status/1480246278672031745
The Express Tribune,@etribune,2022-01-09T13:47:51.000Z,"The Express Tribune
@etribune
·
9 Jan","A cycle rally was organised on Sunday to raise awareness about air pollution and the historical and cultural aspects of #Lahore
#etribune 
https://tribune.com.pk/story/2337893/in-pictures-riders-cycle-to-raise-awareness-about-air-pollution…
3
13
63",,3,13,63,[],https://twitter.com/etribune/status/1480174484049039369
The Express Tribune,@etribune,2022-01-09T16:54:59.000Z,"The Express Tribune
@etribune
·
9 Jan","Women's camel beauty contest makes debut in Saudi Arabia
#etribune 
https://tribune.com.pk/story/2337899/womens-camel-beauty-contest-makes-debut-in-saudi-arabia…
1
6
44",,1,6,44,[],https://twitter.com/etribune/status/1480221576796774400
The Express Tribune,@etribune,2022-01-10T15:53:12.000Z,"The Express Tribune
@etribune
·
10 Jan","JI's protest sit-in turns into family outing in Karachi
#etribune
https://tribune.com.pk/story/2338032/1
5
26
99",,5,26,99,[],https://twitter.com/etribune/status/1480568415756722178
The Express Tribune,@etribune,2022-01-10T14:58:35.000Z,"The Express Tribune
@etribune
·
10 Jan","Shahrukh Jatoi caught enjoying ‘lavish lifestyle’ at Karachi hospital
#etribune
tribune.com.pk
Shahrukh Jatoi caught enjoying ‘lavish life’ at Karachi hospital
Shahrukh Jatoi, murder convict of 2012 Shahzeb murder case, has been living a “lavish life” on the upper floor of a little known private hospital in Karachi
24
114
191",,24,114,191,[],https://twitter.com/etribune/status/1480554672285007872
